"","review","rating"
"1","fantastic hotel to stayfantastic hotel to stay, staff really friendly and nice, they pull out all the stops for you. brilliant apartment very clean, cleaning staff are a delight as well always smiling and very helpful, breakfast free with lots to chose from different kinds of coffee teas really excellent and i would deffenetly recommend staying there, 10 lins from centre of town and to bus/rail station.i could not fault the place, i would give it 11/10.m dow ",5
"2","disneyland tickets were sold out on thedisneyland tickets were sold out on the official website but we were able to purchase them smoothly via your website! the check in process was easy too. my daughter was almost devastated that she cant go to disneyland but happy that she was able to make it. thank you!!",5
"3","not randomly choose your services andnot randomly choose your services and so far i'm not disappointed. my trip is approaching soon and might use you to book a hotel. for now everything is as expected: booking, ticket, payment, receipt. thanks ",5
"4","really i want to express my pleasure with trip.comreally i want to express my pleasure with trip.comi reserved online tickets to visit skypark of marina bay sands singapore and was non refundable tickets booking no. 29584448746 but unfortunately, i faced sever weather during my visit so the trip is canceled and i expected that i lost my ticket but i sent email to trip.com to do refund, then at once all staff of trip.com especially mrs hannah who contacted me and raised my request till successfully returned all my tickets refund totally. really i like trip.com and i always trust on them, i recommend it for all people to deal with ",5
"5","trip.com a fantastic resourcetrip.com has been a fantastic resource for my hotel bookings. and of the 3 places i booked, 2 lived up to the representation as shown, one slightly not. overall an excellent app and id say pay attention to whether a resort is given a 3 star, 4 star rating etc. 4 star above lives up to representations. 3 star dont. happy travels. ",5
"6","a wonderful trip and staying at yan an hotel shanghai.it was nice experience staying in yan an hotel in shanghai. the staff is very cooperative the head of the team with code 083 helped us a lot during the trip for translation and other matter.the breakfast food was also good. ",5
"7","payment something strange, upon departure, the hotel presented me with room bill for payment. i showed them the documents of my room prepaid in advance. the staff told me they haven't received any payment yet. but i refused to make any payments, insisting that my room was already prepaid.they then allowed me to check out.",4
"8","great dealgreat deal, booked a very last minute flight (travelling the next day) from thailand to london via china. using 2 different airlines, sichuan airlines & air china. got a great price and e tickets for the 2 airlines sent by email. checking in was easy and i didnt have to collect my baggage and recheck in as the airline sichuan airlines took care of that for me. what i will say is do not buy any liquids ie alcohol in thailand as once you go through passport control again in chengu airport they take the liquids off of you even if sealed in a duty free bag, any liquids even under 100ml. i have now downloaded the app and will definitely be using trip.com again and will also recommend it to my daughter who is going travelling next month and her friends. plus you collect coins with every purchase to give you money off your next booking. especially when travelling, every little helps! ",5
"9","trip.com app is great they provide a great secure website atrip.com app is great they provided a fast refund service when the dates of my visit to istanbul changed at the last minute so i was able to rebook knowing that they would help they are safe and secure app i would recommend them to anyone ",5
"10","the staff is very good and helpfulthe staff is very good and helpful. i alway buy flights ticket and recommend this application to other people. hope your team will have great services forever. thank you so much.",5
"11","baggage allowance issuewe booked a 4 sector ticket. the first leg sgn to bnk with vietnam airlines that already included a 20kg allowance. we booked allowances for the other 3 sectors as the flights with air asia. our baggage allowance was charged to the first sector by mistake leaving sector 2 with no allowance meaning we will have to pay again at check in. trip.com does not assist in any dealings with baggage. ",2
"12","trip.com is just a portal to booktrip.com is just a portal to book tickets or hotels for your visit. however you get any problem regarding your flight, for example meal preference or flight change or anything. i suggest to buy ticket directly from airline. i did not had a good experience with trio.com. highly unsatisfied.",1
"13","easy to bookeasy to pay i found the price great.no problem paying.only thing that is annoying is the stream of add ons.add ons for literally everything.some things should be standard with any booking but it's down as an added payment add on.",4
"14","it was great experience with trip.comit was great experience with trip.com. frankly i was very worried regarding truthful.thank you for your service i will be fixed client in future ",4
"15","wonderful servicethe tickets were issued earlier and the updates about the flights was prompt and very helpful and my first time using the app looking forward to more trips.",5
"16","rhys provides excellent service rhys is very helpful to process our flight tickets change request, and he is in the view to ensure our travel as most important. im happy with the booking this time.",5
"17","it took multiple tries but a great result. it took multiple tries to add a room to our stay and again to re enable our ability to prepay. having to wait for morning in beijing was part of the problem. our changing the number of days we would be in chicago was part, too. happy ending, however. your agents were great. ",4
