Review,isPositive
"these are a reprint of three short stories that have previously appeared in other anthologies. they are very good stories as ususal for this author. however, publishers and book sellers need to warn their buyers that these are tired old reprints!!",TRUE
"this book was okay, though definitly not the best in the series. the writing was good and discriptive, though it didn't grab me in quite the same way as the first trilogy did, or even as the two books before this one did. to me, it seemed that this whole book was a rehash of the previus one. it had practicly the same plot, except uldir finally went just a little to far. and they had to bring the orloc guy back. i don't think he is a very good villian, because he is too unsure of himself, and he doesn't even have any real powers. his very presence insults the intelligence of the characters, and the fact that all of them are jedi, or at least jedi trainees except uldir. like i said, the writing was good, and the characters well developed, even if the plot was less than perfect. and despite it's flaws, i greatly enjoyed reading it, and intend to do so again. definitly best for children twelve and under.",TRUE
"the expanded new edition of a classic book collector's market guide provides full color and plenty of detail, updating prices for over 5,000 books and using charts to help identify first editions --which can be a tricky process, as publisher's marks vary from publisher to publisher. a new chapter on children's books has been added, while top ten lists of rarities and an alpha listing by author makes it quick and easy to use this as a take-along tote for flea market ventures.diane c. donovancalifornia bookwatch",TRUE
"this gripping tale of terror, betrayal and friendship that will haunt you at night this fantasy story is about 15 year old jhon trenchard, an orpan who accidently finds the secret entrence into the pirate world: the vault. here, he discovers the truth about his friends ratsy and elzevir: they are pirates! johngoes on terrifying adventures and journey and just about escapes death and... to find out the rest you'll have to read the book. although the book has the use of archaic words i got use to it as i got deeper into the book. the terrific storylines keeps you reading hours on end, from cover to cover. although at the start it was a little boring, the storyline improved within pages from the start.",TRUE
"i love belle and sebastian. this album is so beautiful, yet it is unlike all of their others. there are a lot more strings, yet most of the songs are very spare. stuart murdoch's voice maintains it's fragility (especially on, """"""""the chalet lines,"""""""" """"""""i fought in a war,"""""""" and, """"""""there's too much love""""""""), and even sounds sexy at times (like the lusty, """"""""don't leave the light on baby,""""""""). belle and sebastian are no doubt a very important band right now, especially in a time when mainstream music is not at it's best, and, """"""""fold your hands child, you walk like a peasant,"""""""" is an essential album.",TRUE
"no matter how many times i've seen this movie, i continue to enjoy it. we are fans of these guys.",TRUE
"the first book to explain the historical interlacing of the independant american spirit with the allure of that most enigmatic machine, the motorcycle. everyone who rides understands this sense of spirit and freedom. bad boys on bad toys was a fiction created by the meida. the intertwining of that fiction with the rise in popularity of the era of the cowboy is explored historically and romantically. this book explains that saying motorcycle saying """"""""if i have to explain you wouldn't understand"""""""" to both riders and non-riders alike. easy to read, fasinating connections made.",TRUE
"purchased this as a stocking stuffer for christmas. it is a hit with all the kids in the house and never fails to elicit a response and a chuckle from everyone who sees it. it is not a regulation sized football and it is soft and foamy, which suits me just fine. it is a cute, fun, reasonably priced unique toy.",TRUE
"thank goodness john matteson has alerted us to the evil agenda of captain & tennille! pity it's 30 years after the fact. nevertheless, i will now be on guard against any further acts of dastardly subversion by this most notorious of acts.seriously, though, anyone getting angry about this most innocuous of acts - it's akin to being furious with abba, or even tony orlando & dawn! - has a problem understanding the function of commercial pop music. i have happy memories of song of joy from my childhood, and although my taste in music is now considerably more sophisticated c&t; can still bring a smile to my face: that was their job, and this album still works.",TRUE
i enjoy biographies and this was one of the best. in fact it was so interesting and well written that i put it down reluctantly. entertainingly written the author used factual information gleaned from diaries and journals to carry the reader on a spellbinding adventiure spanning decades. i will certainly read more of mary lovell's books.,TRUE
"i'm not sure what anyone is saying about not being able to follow the story line. it's similar in concept to nicolas cage's movie """"""""the family man."""""""" i thought this movie was quite good and i am very picky about what i keep in my library. it wasn't the best christmas movie i have but it was definitely worth keeping and watching traditionally.",TRUE
"i really like this, it works great for bath toys and there is a little shelf for shampoo which is very handy and you can hang things of all the toes of the frog. plus the holes in the scoop are really nice to rinse the bath toys(like getting all the bubbles off). the reason i didn't give it a five stars is because the suction cups are not that great, it always fell off eventually and good thing there were several ways of attaching it otherwise i would have returned it, you can either use the double sided sticky tape (that's what i did) or you can screw it in which there was no way i was gonna do that to my tiled shower.",TRUE
"overall, well-written, well-researched, well-done. authoritative without being unapproachable to the less-than dead-serious movie monster fan. and yet, while one hestitates to criticize a godzilla book for having *too* much godzilla, one also can't help but wonder, why exactly *is* godzilla, japan's favorite """"""""mon-star,"""""""" as it were? where does angilas figure into all this? and what of that jaguar jet fellow? ... in any case, a small quibble. i'll put it on my shelf next to """"""""love story"""""""" anyday! and how!",TRUE
"i completely enjoyed this book. """"""""dr jack"""""""" captured the current possibilities of cloning in his new book. it was hard to put it down, especially since i work in the biotechnology field. i especially love the ending (which i will not give away). you will just have to read it yourself.",TRUE
this is a great introduction for understanding couture designing. it gives a rich historical foundation for haute couture. you never really know the intricacy of what it takes to make a stunning hand sewn garment. my mentor who is a master tailor recommended this book to get my feet wet in this fine art.,TRUE
"just testing these tweeters out before putting them in for good.. not bad, for the price a good value. they are nice and small. hardly larger than the dome",TRUE
i have every episode ever shown over 5 seasons on video tapesteven bauer ( a terrible replacement) was only in a few of the failed last season. ken wahl was the wiseguy the only one any good.,TRUE
"when i first saw previews for this film it didn't interest me at all as it looked too cheesey and bland. but after hearing all the rave reviews from friends and the media i decided to take a chance and i'm glad i did by the end of the movie i walked out of the theater in awe. this movie had everything i could ask for -action/adventure/comedy/suspence/romance/horror all wrapped into one. plus not to mention a great cast that just made the movie more outstanding. johnny depp is one of the most elite actors out there today and his portrayal of captain jack sparrow is beyond belief.pirates of the caribbean was a welcomed surprise as every now and then a movie that comes out that manages to capture lightning in a bottle, this film does that flawlessly. i can only hope that the sequel will be just as good.the 2 disc dvd set has loads of extras from concept art to deleted scenes and will keep you entertained for hours on end.this is a must have for anyone's movie collection!",TRUE
"if you have enough room in your workshop, then you need a good worckbench. this is the one. it was easily assembled in about 20 minutes and was perfectly flat and true. i wouldn't call it a heavy-duty bench, but is is pretty heavy. i don't know how i got along without. i used to use the right side table of my table saw to assemble all my furniture, but that is no comparison to this. the clamps work well and the surface is excellent. even glue doesn't stick to it. if you have an extra 6' of space in your workshop, give this bench a try. it is worth every penny of the price. the only downside i see is that it doesn't have a built-in tool tray on the work surface. other than that, this bench is great.",TRUE
the new sum 41 cd is really crazy. it is one of thier best yet. if you like punk you should listen to this cd. its a great cd. their music is so awsome.,TRUE
"that is according to my wife. she wanted longjohns for christmas, and she received them. she says they're great. hopefully this can be of use to you.",TRUE
this product was for one of my residents...once he heard the music it put a big smile on his face and also for me also,TRUE
thanks this product is great and came quickly. i would recommend it to any one. i will shop here again.,TRUE
"i have seborrheic dermatitis on my scalp which flares up periodically. regular shampoos just don't cut it. this bar soap is fantastic. i have hard water and it works just fine;just use a vinegar rinse. it really makes my hair squeaky clean and it's also fantastic for the face for people who have acne. it comes in a plain wrapper, is made by hand with no fancy name on the bar soap. do wish that the price was lower. it's good for plain old dandruff as well. no chemicals. it's a winner! great for travel. ahh! the good old days . . . except for the price!",TRUE
"anyone who want to know about the car business this is an excellent start. lee tells the truth. a great story about a good car guy.remember how quickly the feds bailed out the airlines after 9/11? and, iacocca had to get down on his hands and knees and beg...",TRUE
this serger is so awesome! i love it! so much better than the singer serger i had. will by brother products again.,TRUE
author ken burger put together this collection of columns about sports and life about 15 years ago. it's a classic and hard to come by. great collector's book.,TRUE
there are some great dance tunes on this disc. the lead singer's voice is soulful; lyrics are deep and wonderful. stop and listen to the words if you can stop tapping your toes. i love these guys. when are they coming to your town? when is their next album release?,TRUE
"american idiot is by far my favorite c.d. that i have gotten this year. american idiot. the song.. is realy good.. and the 2 nine minute songs are excellent. my favorite songs are """"""""shes a rebel"""""""" """"""""wake me up when september ends"""""""" and """"""""st. jimmy"""""""" ohh and """"""""give me novicane"""""""" .. they are really great!",TRUE
"at times plays like a more accessible cocteau twins, benefiting from clean production, crisp hooks, and memorable underplayed choruses. some songs cannot seem to nail the graceful songwriting which filters through to at least half of these tracks, but seldom has the current crop of overdone, retro-indie rockers been on display with such sincerity and consistency.",TRUE
"frank herbert's masterfully crafted book, dune, is one of the best books i have ever read. set on a wonderfully unique world arakis, aka dune, this book follows the life of paul muad'dib. i do not want to give away any more plot points than that. however, if you are a science fiction fan, you will love this book. the story, characters, technology, and world are all wonderfully crafted. the writing style is wonderful as well. it does not explain everything for you, but it withholds just enough information to make you think. with a unique and wonderful storyline, and excellent writing style, you can not go wrong when you decide to read dune.",TRUE
i bought this for my four year old daugther and she loved it. it made her want to clean up her room and brush her teeth because she got to put a smiley face on the board when she completed it. she would then interchange the responsiblities so could do more things. love how it is magnetic.,TRUE
"i, like many others, have fallen victim to buying lg vx6100 replacement batteries only to be shipped old, expired batteries that don't hold a long charge and prevent you from having """"""""long"""""""" (> 10 minutes) phone conversations.this battery, it would seem, is not like that at all. it holds a charge for me for 3 days and i now have no problems with long conversations.this is the one to get - period, end of story.label orientation is different that original oem battery. it goes in """"""""upside down"""""""".",TRUE
just a week of using the a.m. yoga series on this dvd fixed the upper back problem and pinched nerve that had troubled me for several years. this may be one of the best things you do for yourself.,TRUE
"very good and easy explanation of basic design principles, layout and typography, although i've not read the typography part. but after starting some small web site design, i was not able to easily color the site and saw the missing part in this book: colors!even the book is black-white only and most design people i have read starts by saying that first get it black-white and then color it, but still i wish it had colors as a part. actually third edition of this book contains a coloring part. so, you should buy the lastest edition. sadly, i haven't known this before buying this one.",TRUE
"the sheets are gorgeous and first quality...not seconds. also, i received a $20.00 discount from amazon for using this store, so they cost much less than department stores. all around an excellent buy for an excellent product. they are not only becautiful but very soft and comfortable.",TRUE
"this book was a pleasure to read! the four management disciplines are so basic, and so often missed in many companies. the story is easy and enjoyable to read and helps illustrate exactly how each of the four points can be implemented. it is a more enjoyable read than most dry business books and not as """"""""cheesy"""""""" as others.",TRUE
classic golf instruction from one of the revered masters. a must read for any serious student of the game.,TRUE
in this book shannon holmes writes it like a soap opera. it tells the life of many different people and in the end how they are all connected. if your not from the streets or don't know anything about the streets you have no right to say anything bad about this book especailly if you haven't went threw some of the things the females have went threw in this book. it's a must read hard to put down. it begins with the p-pound basically you could call them high class gold diggers but when the head of the p-pound gets a little to greedy and takes one of the men shes hustling money b/c she believes he'll rot in jail. things begin to go bad and as soon as life starts to look up. her past finally catches up with her and then she realizes she has to be more careful.,TRUE
i recommend this for book for anyone interested in getting a good general feel for how food production currently works and exploring ideas of sustainable food production. the book is well written and provides enough startling facts and anecdotes to keep one reading.,TRUE
"the gang was great and as was the story line. my 3 year old enjoyed it as much as i did as he is in the """"""""raarrrr"""""""" stages and he loves this. it surprised me when i found out that they were real monsters and was wary about my son watching it, but it being a cartoon and all, i am sure it won't have any long term effects on him. he wasn't scared in the least. he was """"""""wow, monster! rarrr!""""""""i cannot believe some of the ratings some people gave this. i can understand where they are coming from, but come on, this is just a cartoon. let the kids know that this is not real and that it is a little scary, if they scare easily. also if you are uncomfortable to show it to them at night, do it during the day. otherwise do not buy it and read the reviews on it.",TRUE
it's the best religious movie i've ever seen and peter gabriel's soundtrack is the best soundtrack album i've ever heard.,TRUE
"i've bought several factory reconditioned tools through amazon com.i've always been satisified.this was no exception.great price,works well.the back cover was dented but that was it.",TRUE
"alli helps reduce fat intake by not allowing a percentage of it to be absorbed, but travel through the digestive system undigested. if you eat an abnormal amount of fat there will be digestive repercussions, an oily residue excreted at inappropriate moments.",TRUE
good wrist braces for the price. economically priced and constructed well. they fit nicely and do the job. that's all that is needed.,TRUE
an early film by val kilmer. some may think it drags on but it ends up being a pretty good movie. val kilmer fans must see his great performance. i'd recommend to at least rent if not by this movie.,TRUE
"a great history of pirates and the culture surrounding them. it holds your interest with just enough subtle humor to keep you involved but not enough to be cheesy. if you love the pirates movies and want to know the truth you need this book! i cannot put this book down! i read it at work, i read it in bed! i look at all things piratically now.",TRUE
"got these for my fiance - he has gargantuan feet, size 14 wide! he absolutely loves these slippers. i have tried finding slippers that fit him for 3 years in a row (all xmas gifts) and none were the right size. he loves that he can wear them around the house and outside as well.",TRUE
"...and that is what the problem is here... imo, it should have been a two-disc affair (to please everyone) i was one of the tens-of-thousands of droogies who voted for their fave songs... and all 17 songs that appear on this disc i voted for... though there was about 10-15 more songs i voted for, as well. if you aren't satisfied with this, either buy all the studio albums (all of them are awesome...yes, even risk) or pick up a copy of their live album (rude awakening)the bonus dvd is a nice treat... looking forward to the arsenal of megadeth!",TRUE
"i really wanted to email the author and tell her about how this book changed my life, but couldn't find contact information for her anywhere! my mother is an alcoholic, and although this book focused heavily on parent-to-child-with-addiction relationships, i still found it very helpful. finally, a book that tells you what to do and what not to do when it comes to dealing with an alcoholic in your family. what behaviors actually help the addict, which make the addiction worse, and which simply waste time for everyone? extremely helpful book.",TRUE
"a brilliant readable and scholarly study of the genius of cervantes's masterpiece. i will enjoy re-reading don quixote armed with the insights presented by the authors into the influence of this work upon european literature and upon writers and philosophers in england, france, russia and america",TRUE
