"","review","rating"
"1","Fantastic hotel to stayFantastic hotel to stay, staff really friendly and nice, they pull out all the stops for you. Brilliant apartment very clean, cleaning staff are a delight as well always smiling and very helpful, Breakfast free with lots to chose from different kinds of coffee teas really excellent and I would deffenetly recommend staying there, 10 lins from centre of town and to bus/rail station.I could not fault the place, I would give it 11/10.M Dow Date of experience: 13 January 2024","5"
"2","Disneyland tickets were sold out on the…Disneyland tickets were sold out on the official website but we were able to purchase them smoothly via your website! The check in process was easy too. My daughter was almost devastated that she can’t go to Disneyland but happy that she was able to make it. Thank you!!Date of experience: 11 March 2024","5"
"3","Not randomly choose your services and…Not randomly choose your services and so far I'm not disappointed. My trip is approaching soon and might use you to book a hotel. For now everything is as expected: booking, ticket, payment, receipt. Thanks Date of experience: 07 March 2024","5"
"4","Really I want to express my pleasure with Trip.comReally I want to express my pleasure with Trip.comI reserved online tickets to visit skypark of marina Bay sands Singapore and was non refundable tickets  booking no. 29584448746 but unfortunately, I faced sever weather during my visit so the trip is canceled and I expected that I lost my ticket but  I sent email to Trip.com to do refund, then at once all staff of trip.com especially Mrs HANNAH who contacted me and raised my request till successfully returned all my tickets refund totally. Really I like trip.com and I always trust on them, I recommend it for all people to deal with Date of experience: 05 March 2024","5"
"5","Trip.com - a fantastic resourceTrip.com has been a fantastic resource for my hotel bookings. And of the 3 places I booked, 2 lived up to the representation as shown, one slightly not. Overall an excellent app and I’d say pay attention to whether a resort is given a 3 star, 4 star rating etc. 4 star above lives up to representations. 3 star don’t. Happy travels. Date of experience: 09 March 2024","5"
"6","A wonderful Trip and staying at Yan An Hotel Shanghai.It was nice experience staying in Yan An Hotel in Shanghai. The Staff is very cooperative the Head of the Team with Code 083 helped us a lot during the trip for Translation and other matter.The breakfast food was also good. Date of experience: 09 March 2024","5"
"7","Payment Something strange, upon departure, the hotel presented me with room bill for payment. I showed them the documents of my room prepaid in advance. The staff told me they haven't received any payment yet. But I refused to make any payments, insisting that my room was already prepaid.They then allowed me to check out.Date of experience: 09 March 2024","4"
"8","Great dealGreat deal, booked a very last minute flight (travelling the next day) from Thailand to London via China. Using 2 different airlines, Sichuan airlines & Air China. Got a great price and E tickets for the 2 airlines sent by email. Checking in was easy and I didn’t have to collect my baggage and recheck in as the airline Sichuan airlines took care of that for me. What I will say is Do Not buy any liquids ie Alcohol in Thailand as once you go through passport control again in Chengu airport they take the liquids off of you even if sealed in a duty free bag, any liquids even under 100ml. I have now downloaded the app and will definitely be using Trip.com again and will also recommend it to my daughter who is going travelling next month and her friends. Plus you collect coins with every purchase to give you money off your next booking. Especially when travelling, every little helps! 😊 Date of experience: 08 March 2024","5"
"9","Trip.com app is great they provide a great secure website a…Trip.com app is great they provided a fast refund service when the dates of my visit to Istanbul changed at the last minute so I was able to rebook knowing that they would help They are safe and secure app I would recommend them to anyone Date of experience: 01 March 2024","5"
"10","The staff is very good and helpfulThe staff is very good and helpful. I alway buy flights ticket and recommend this application to other people. Hope your team will have great services forever. Thank you so much.Date of experience: 12 March 2024","5"
"11","Baggage Allowance IssueWe booked a 4 sector ticket. The first leg SGN to BNK with Vietnam Airlines that already included a 20kg allowance. We booked allowances for the other 3 sectors as the flights with Air Asia. Our baggage allowance was charged to the first sector by mistake leaving sector 2 with no allowance meaning we will have to pay again at check in. Trip.com does not assist in any dealings with baggage. Date of experience: 11 March 2024","2"
"12","Trip.com is just a portal to book…Trip.com is just a portal to book tickets or hotels for your visit. However you get any problem regarding your flight, for example meal preference or flight change or anything. I suggest to buy ticket directly from airline. I did not had a good experience with trio.com. Highly unsatisfied.Date of experience: 01 March 2024","1"
"13","Easy to book…easy to pay I found the price great..no problem paying..only thing that is annoying is the stream of add ons....add ons for literally everything...some things should be standard with any booking but it's down as an added payment add on...Date of experience: 09 March 2024","4"
"14","It was great experience with trip.comIt was great experience with trip.com. Frankly I was very worried regarding truthful.Thank you for your service I will be fixed client in future Date of experience: 10 March 2024","4"
"15","Wonderful serviceThe tickets were issued earlier and the updates about the flights was prompt and very helpful and my first time using the app looking forward to more trips.Date of experience: 10 March 2024","5"
"16","Rhys provides excellent service Rhys is very helpful to process our flight tickets change request, and he is in the view to ensure our travel as most important. I’m happy with the booking this time.Date of experience: 11 March 2024","5"
"17","It took multiple tries but a great result. It took multiple tries to add a room to our stay and again to re-enable our ability to prepay. Having to wait for morning in Beijing was part of the problem. Our changing the number of days we would be in Chicago was part, too. Happy ending, however. Your agents were great. Date of experience: 09 March 2024","4"
"18","Flight with Boliviana de AviaciónI bought a flight with Trip.com to fly with Boliviana de Aviación and everything was correct. They gave me a booking reference in 2 days and I could confirm that in the Boliviana de Aviación website.Date of experience: 09 March 2024","5"
"19","Avoid booking with trip.com at all costsAvoid booking with trip.com at all costs. Despite contacting them well in advance, I faced a brick wall when attempting to cancel my trip. Even though I had only booked the trip two weeks prior, they adamantly refused any form of reimbursement or voucher. When I pleaded for a change in flight dates, they callously shut me down yet again. Their utter disregard for customer satisfaction is appalling. They've pocketed over £200 of my hard-earned money with no remorse or assistance offered. As a student on the exchange without the means to recover from such a loss, I am at a loss of what to do especially when I was pretty much told tough luck not our problem. Spare yourself the headache and avoid this company because they don't care about customers Date of experience: 26 February 2024","1"
"20","Easy flight booking experienceEasy flight booking experience. They offer cheaper price and you'll get discount for booking hotels. Such a convenience. Thank you Trip.com!Date of experience: 27 February 2024","5"
"21","Trip.com has very efficient service to…Trip.com has very efficient service to initiate automatic boarding pass and timely information on flight delays or any changes Date of experience: 09 March 2024","5"
"22","I paid for tickets for louvre all I see…I paid for tickets for louvre all I see is voucher asked how to access tickets twice still waiting for response.Date of experience: 08 March 2024","1"
"23","trip to singaporei have book a ticket to Singapore, easy to use and the price is reasonable and cheaper than other appDate of experience: 20 December 2023","5"
"24","very user friendlyvery happy as the platform is very user friendly, commendableDate of experience: 05 March 2024","5"
"25","I am very satisfied for service and…I am very satisfied for service and policies. Best of luck for Trip.com team.Best Wishes. Date of experience: 08 March 2024","5"
"26","I wanted to book my flight as going…I wanted to book my flight as going with scoot and return on Japan Air. The ticket was 629 SGD but not allow to get check-in luggage. After I booked my flight at $1237 SGD Then, I went online to check, the price was 1195 SGD. Totally unable to trust the  trip.comDate of experience: 07 March 2024","1"
"27",".................Date of experience: 08 March 2024","4"
"28","Incomplete bookings Bookings were not for the entire duration the hotel gave us a scare on our last day of stay Date of experience: 07 March 2024","3"
"29","Great serviceGreat service - efficient and a superb deal on a City based hotel needed for work overnight. Would definitely use again and recommend to others. Date of experience: 07 March 2024","5"
"30","Easy to search and transactEasy to search and transact, offers best prices. So far so great.Date of experience: 09 March 2024","5"
"31","Overall is satisfiedOverall is satisfied. clean & convenient for food hunting. Date of experience: 14 February 2024","5"
"32","Will never book flights through…Will never book flights through Trip.com again Date of experience: 09 March 2024","1"
"33","Easy to bookEasy to book.  Took a few moments to figure out how to complete my transaction in English.  Once it was found, the process was quite simple.Date of experience: 09 March 2024","4"
"34","Eveyything was nice n easy.especially the booking of air tickets The booking was easy n the paeyment was…The booking was easy n the payment was easy too.will definitely use trip again for my next booking Date of experience: 06 March 2024","4"
"35","All of the process was clear and easy…All of the process was clear and easy to follow and completeDate of experience: 08 March 2024","5"
"36","One of the best booking siteOne of the best booking site. Genuine, Trustworthy and real instead of those shitting makemytrip, mytickets or trip(copycat). Good. job keep it up !! Date of experience: 08 March 2024","5"
"37","Prices Easy and niceDate of experience: 07 March 2024","5"
"38","My great love❤️My great love❤️. It’s been helping out for several years now🌍🌏🌎, we only bought trains, air and hotels here, the best prices. I receive feedback and customer care with pleasant valuable bonuses, I switched from all similar platforms only to Trip.comDate of experience: 09 March 2024","5"
"39","Booking like forecastedBooking like forecasted - all goofDate of experience: 07 March 2024","5"
"40","Hello Hello I trust this app and it’s helped me a lot in all flights and hotels and nice prices Thank for everythingDate of experience: 10 July 2023","5"
"41","Everything is good!!Everything is good!!! ^^Date of experience: 29 February 2024","5"
"42","So happy I felt sad too when China…So happy I felt sad too when China airline didn’t response me so I have to book air India againDate of experience: 23 October 2023","5"
"43","Everything great with clear details…Everything great with clear details about baggage and great pricesDate of experience: 06 March 2024","5"
"44","I love this appI love this appI clicked it every day Date of experience: 05 March 2024","4"
"45","Recommended Its great apps. Easy to manage. Date of experience: 05 March 2024","5"
"46","Highly recommended Very Cheap flight ticketDate of experience: 05 February 2024","5"
"47","All right s goodDate of experience: 05 March 2024","5"
